Id,SalePrice
1461,116953.99030444988
1462,150812.6249478587
1463,174920.43886674815
1464,195586.79208292934
1465,194203.28716610014
1466,172182.72623448807
1467,184449.39120693514
1468,163648.29212591433
1469,192608.3081618871
1470,120437.89314040226
1471,185142.85000211382
1472,99884.79628965477
1473,95351.62864647733
1474,149625.6687051244
1475,120137.80667241011
1476,355280.6294173438
1477,247958.59925940805
1478,294221.0144107857
1479,294271.4938446086
1480,495269.11476646445
1481,325091.7986236074
1482,213187.5654177984
1483,168635.54334780853
1484,168171.34037132407
1485,189850.08948198904
1486,193237.9095273844
1487,328316.7716639532
1488,239723.69377605262
1489,188295.91542811826
1490,221813.4854943702
1491,193053.36320911066
1492,90569.86523587054
1493,193542.94002057746
1494,295443.30485707783
1495,283596.4939756581
1496,231536.29381502932
1497,178126.94276811334
1498,168657.87380978104
1499,161140.70625191915
1500,153720.8690548902
1501,171468.8772726756
1502,153267.18187044517
1503,276783.2495077117
1504,248443.21271709222
1505,226153.2671068592
1506,187575.11757999638
1507,246919.11846047148
1508,195190.60990972587
1509,162974.62615182987
1510,142958.5280809847
1511,149534.55933528845
1512,171363.62263060524
1513,146490.99273183662
1514,149555.57106168676
1515,191013.19186004854
1516,153859.601151312
1517,164932.063324191
1518,131545.71951383405
1519,211204.54602707247
1520,129261.20427180186
1521,127394.71106037583
1522,176372.17116665357
1523,109615.14633006544
1524,119038.21815319016
1525,119401.13331524553
1526,110422.72020605156
1527,110245.10800584141
1528,136754.4858739733
1529,147819.12136688994
1530,197893.93860391685
1531,113644.36661506633
1532,102476.90748311694
1533,141827.30886536257
1534,125630.6720673204
1535,139710.441110851
1536,107438.92815730827
1537,63677.237753937174
1538,148745.2930072948
1539,192149.22629257324
1540,89342.26102049819
1541,135848.75470170288
1542,130733.23032195716
1543,185227.58793221632
1544,87099.4204984894
1545,110960.37181681921
1546,135473.71992255736
1547,125885.55908416846
1548,133569.53132414017
1549,119128.18026693542
1550,133322.2560579992
1551,114000.64001641424
1552,139254.63951795996
1553,138757.20657705105
1554,121536.32964420276
1555,152149.2905815729
1556,87584.0429150562
1557,99851.52748490131
1558,102071.9961550011
1559,69248.67447196918
1560,131023.9257521374
1561,115343.90250680597
1562,131467.97178504558
1563,119402.85675624554
1564,152468.1203527926
1565,144366.65877333228
1566,234541.76126381205
1567,80497.76272318588
1568,230851.53251486167
1569,125241.69902710804
1570,139695.13607613393
1571,117371.22920428321
1572,139773.72305940307
1573,229821.5471345895
1574,115271.55810006427
1575,226083.941912628
1576,241629.32997595027
1577,185889.90626798326
1578,148058.34898598798
1579,139450.3594543459
1580,197976.07692002004
1581,152959.33687773766
1582,130063.99389495699
1583,298090.93392292864
1584,224653.35330143984
1585,139492.26712483156
1586,74951.64643665665
1587,103367.61025049299
1588,149871.79739990155
1589,95761.54918563993
1590,132466.96761125274
1591,92031.71316762714
1592,115146.11579837944
1593,137760.88133526142
1594,130491.56132447883
1595,106993.79883932952
1596,221126.33892339945
1597,186904.0980961532
1598,220422.6502948149
1599,178639.92813940698
1600,170480.49319297314
1601,68947.29342035166
1602,114269.40753109723
1603,79555.43180189612
1604,260094.15703703844
1605,251148.45715733914
1606,170170.96042796274
1607,172660.74510978477
1608,219813.0696827524
1609,182363.22036257424
1610,147604.89057785974
1611,137706.93981918177
1612,167445.8350892633
1613,164082.33309910278
1614,127895.85410632692
1615,91323.16871120565
1616,79672.22388947249
1617,94236.45364125841
1618,127944.04460166437
1619,145438.57965676385
1620,165452.66130242235
1621,134876.80023684973
1622,144490.343609743
1623,271144.43090526294
1624,205635.3603552266
